,ZIP,Total Releases,Total Population,Percent_Below_Poverty_Level,Percent_White,Percent_Black_African_American,Percent_American_Indian,Percent_Asian,Percent_Native_Hawaiian_PI,Percent_Other_Race,Percent_Hispanic_Latino,Percent_50_PL,Percent_125_PL,Percent_185_PL,Percent_200_PL,Percent_300_PL,Percent_400_PL,Percent_500_PL
0,77536,15938460.445004262,31865,7.453318688215911,58.10450337360741,1.449866624823474,0.922642397614938,1.6538521889220146,0.0,2.815000784559862,37.363878863957325,3.276321983367331,8.771379256237251,18.73215126314138,20.87870704534756,36.90883414404519,54.815628432449394,67.1740153773733
1,77571,7254231.598740792,37298,9.528661054212021,56.65719341519653,5.946699554935921,0.42361520724971846,1.1770068100166229,0.0,4.480132983001769,33.83023218403132,3.3942838758110354,12.8398305539171,21.097645986379966,24.274760040752856,42.163118665880205,57.63311705721487,67.12692369564051
2,77530,4999059.941984074,33387,16.92275436547159,18.77077904573636,12.44196843082637,0.0,0.18570102135561745,0.0,3.2407823404319047,67.47236948512895,9.488723155719292,25.755533590918624,39.99760385778896,42.12118489232336,61.01476622637554,80.25279300326474,87.50711354718904
3,77520,4044139.1614826275,35114,18.11812952098878,29.455487839608136,12.94640314404511,0.06550093979609273,0.734749672495301,0.08258814148202996,10.05012245827875,54.97807142450305,6.4077006322264625,23.950561029788688,36.76596229424161,39.36606481745173,62.05502078942872,75.22640542233867,82.99538645554479
4,77507,3543322.4163276,312,19.230769230769234,68.26923076923077,14.423076923076922,0.0,0.0,0.0,4.487179487179487,17.307692307692307,19.230769230769234,19.230769230769234,32.05128205128205,39.42307692307692,45.83333333333333,60.256410256410255,75.96153846153845
5,77015,2839185.5858200574,56376,21.596069249325957,11.76387115084433,17.074641691499927,0.9507591883070811,1.8216971761033065,0.02838087129274869,3.9307506740456932,68.78458918688804,8.28011919965943,27.94806300553427,46.106499219526036,49.57251312615297,71.77877110827302,83.1275720164609,90.10571874556548
6,77012,2003276.314,19533,23.467977269236677,1.9761429375927917,3.5324834894793424,0.3276506425024318,0.9522346797726924,0.0,34.17293810474582,93.99477806788512,6.496697895868531,33.51763681974095,48.533251420672705,52.490656837147384,81.13449034966467,89.27456099933447,96.16546357446373
7,77521,1084509.8182,59596,12.067924021746427,33.16665548023357,20.212765957446805,0.6661520907443452,2.449828847573663,0.052016913886838045,3.261963890193973,42.289750989999334,5.810792670649037,14.636888381770587,26.51688032753876,28.34250620847037,46.82696825290288,62.00248338814686,76.6074904355997
8,77013,780472.1000000001,17897,23.97608537743756,6.196569257417444,21.411409733474883,0.17880091635469633,0.3631893613454769,0.1117505727216852,3.5704307984578425,71.69357992959713,10.828630496731295,30.91579594345421,48.99703860982287,53.13180980052523,75.14667262669721,87.49511091244344,92.56299938537185
9,77017,728888.29,32940,19.092289010321796,6.84274438372799,3.9253187613843354,0.47965998785670916,3.126897389192471,0.09107468123861566,25.373406193078324,86.08075288403157,7.10989678202793,24.741955069823923,40.54341226472374,42.99635701275046,66.645415907711,80.37037037037037,89.62962962962962
10,77029,575948.69,17668,27.292279827937517,6.814580031695722,19.79284582295676,0.20375820692777905,0.0,0.0,5.750509395517319,73.0642970341861,9.678514829069504,35.063391442155314,55.314693230699575,56.678741227077204,76.44328729907177,87.27643196739868,92.77224360425627
11,77506,505690.5493,38590,23.039647577092513,7.945063487950247,1.3604560767038092,1.2075667271313812,0.19175952319253695,0.0,2.7856957761078003,89.90152889349572,7.950246177766261,31.321585903083697,51.46929256284012,56.892977455299295,79.30551956465406,87.66001554806945,93.1433013734128
12,77547,321962.671184,9880,31.973684210526315,8.178137651821862,10.313765182186236,1.04251012145749,0.0,0.0,9.746963562753036,81.16396761133603,11.548582995951417,36.60931174089069,52.540485829959515,56.730769230769226,73.10728744939271,83.56275303643724,89.5344129554656
13,77503,313457.0465,24591,14.911959660038226,26.54223089748282,3.1434264568338013,1.0247651579846286,0.1707941929974381,0.07726403968931723,3.2003578544996136,69.43190598186328,4.774104347118865,23.443536253100728,39.888577121711194,43.198731243137736,69.4888373795291,81.64369078118011,87.49542515554471
14,77032,280083.13,14468,41.063035664915674,6.372684545203207,42.32098424108377,0.0,0.8363284489908764,0.08985346972629252,10.381531656068566,51.36162565662151,29.37517279513409,47.539397290572296,63.74758086812275,67.4384849322643,89.27978988111694,93.98672933370197,96.60630356649158
15,77041,205464.32094600002,33905,8.007668485474118,28.405839846630293,9.971980533844565,0.5308951482082289,14.56717298333579,0.09143194219141719,13.121958413213392,45.40923167674384,2.899277392714939,12.514378410263975,24.837044683674975,27.122843238460405,42.35068573956644,56.20704910780121,63.33284176375166
16,77091,158264.4,27496,25.087285423334304,8.608524876345651,45.59208612161769,0.07637474541751527,0.8073901658423043,0.02545824847250509,3.0731742798952575,45.366598778004075,8.97585103287751,34.56866453302298,50.70192027931335,56.61914460285132,75.36368926389294,82.870235670643,88.61288914751236
17,77051,155609.57,17185,35.32150130928135,2.449810881582776,77.17777131219087,0.1978469595577539,1.1114343904567936,0.0,3.5612452720395695,17.387256328193192,12.6389292988071,40.41897003200465,57.79458830375327,63.18300843759093,80.89031131800989,88.51905731742798,90.9979633401222
18,77586,136885.86760000003,22337,7.24358687379684,74.13260509468594,4.194833684022027,0.3178582620763755,2.202623449881363,0.0,0.5014102162331557,18.07315216904687,3.2546895285848594,9.8670367551596,13.820119084926356,15.852621211442896,27.944665801137127,38.97569055826655,49.56350449926131
