,id,Geographic Area Name,"Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level,Estimate!!Below poverty level!!Population for whom poverty status is determined,Estimate!!Below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years,Estimate!!Below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
489,76140,ZCTA5 76140,7685,8921,0,434,0,4186,13150,1560,7571,10393,11725,12765,18459,23998,26360,4967,2240,584,876,0,68,0,529,2937,836,16.2,24.6,25.7,9.8,-,15.7,-,12.6,22.3,10.9
490,76148,ZCTA5 76148,14728,991,401,1044,36,1172,6531,694,2596,3462,4579,4976,10471,15391,18510,1795,645,221,24,0,115,0,45,717,912,7.5,11.3,13.8,2.4,0.0,11.0,0.0,3.8,11.0,6.2
491,76155,ZCTA5 76155,1374,1994,54,952,0,211,1205,191,510,760,1369,1519,2661,3842,4518,486,146,61,261,0,137,0,14,40,38,8.4,15.6,13.6,13.1,0.0,14.4,-,6.6,3.3,2.8
492,76164,ZCTA5 76164,764,40,56,79,0,4544,14482,1320,6087,7272,9243,9925,12584,13972,14732,4123,1422,392,2,3,71,0,1007,3789,261,26.7,36.0,36.1,5.0,5.4,89.9,-,22.2,26.2,34.2
493,76177,ZCTA5 76177,7578,1215,153,758,0,440,1535,239,501,781,1394,1448,2777,4693,6514,339,35,7,0,18,0,0,0,85,237,2.9,1.1,0.6,0.0,11.8,0.0,-,0.0,5.5,3.1
494,76179,ZCTA5 76179,39020,4536,436,2352,31,2377,17897,1679,5707,7237,9659,10890,22637,33846,43259,4204,1591,299,186,0,236,0,330,1692,1843,6.4,8.0,5.3,4.1,0.0,10.0,0.0,13.9,9.5,4.7
495,76180,ZCTA5 76180,23025,2869,510,1739,459,2336,7274,936,4180,6811,9292,10505,18014,22877,27462,2988,1108,203,270,9,140,68,171,851,1533,8.1,13.4,8.2,9.4,1.8,8.1,14.8,7.3,11.7,6.7
498,76205,ZCTA5 76205,10853,2362,62,1163,149,510,4552,1987,5023,6243,7421,7819,11248,13648,15318,3736,392,133,569,13,661,52,190,992,1289,19.1,12.0,13.3,24.1,21.0,56.8,34.9,37.3,21.8,11.9
499,76207,ZCTA5 76207,9153,871,287,338,0,408,3655,588,1813,2526,3586,4488,6909,9158,10455,1416,475,270,80,32,0,0,55,727,545,9.8,15.8,26.7,9.2,11.1,0.0,-,13.5,19.9,6.0
500,76208,ZCTA5 76208,15215,1066,120,647,0,1108,7055,855,2534,3968,6113,6589,10307,13721,16194,1865,714,269,268,12,67,0,98,651,765,7.6,11.1,12.8,25.1,10.0,10.4,-,8.8,9.2,5.0
509,76234,ZCTA5 76234,12063,244,95,210,36,530,3425,1047,1996,2368,3475,4655,7622,9876,11077,1605,648,232,25,0,0,0,3,689,862,9.9,15.0,19.8,10.2,0.0,0.0,0.0,0.6,20.1,7.1
512,76240,ZCTA5 76240,18980,964,255,289,31,248,6074,1677,5475,6509,8788,9743,14768,18946,21811,4498,2067,700,360,79,7,7,39,1821,2075,16.6,32.2,36.5,37.3,31.0,2.4,22.6,15.7,30.0,10.9
513,76244,ZCTA5 76244,48688,7338,140,6393,48,1847,12045,795,2811,4475,6314,8864,19171,30202,44237,2099,173,56,70,49,644,0,0,583,577,2.7,0.7,1.0,1.0,35.0,10.1,0.0,0.0,4.8,1.2
515,76247,ZCTA5 76247,10380,337,110,34,0,499,2132,462,1259,1946,2687,3034,4878,7002,8354,851,286,54,34,0,7,0,2,198,564,6.4,7.7,5.7,10.1,0.0,20.6,-,0.4,9.3,5.4
516,76248,ZCTA5 76248,30706,874,186,2541,0,424,4028,943,1433,1744,2871,3323,5921,9130,14026,1186,401,49,0,0,227,0,18,190,745,3.0,3.7,2.5,0.0,0.0,8.9,-,4.2,4.7,2.4
526,76262,ZCTA5 76262,30045,1349,167,2400,0,1081,4496,840,2381,2916,3994,4798,7362,11429,17016,1958,558,144,79,11,356,0,86,350,1071,5.0,4.9,4.8,5.9,6.6,14.8,-,8.0,7.8,3.6
536,76301,ZCTA5 76301,5997,2991,172,54,0,1568,5087,1908,5384,6304,7438,8389,11166,12879,13711,4437,1332,423,1279,101,11,0,396,1504,1539,30.6,37.1,34.8,42.8,58.7,20.4,-,25.3,29.6,25.7
538,76305,ZCTA5 76305,3591,45,64,130,0,184,313,278,584,719,938,1048,1814,2654,3017,531,178,18,39,39,0,0,48,141,282,12.5,20.5,10.8,86.7,60.9,0.0,-,26.1,45.0,7.9
542,76310,ZCTA5 76310,14335,688,75,1029,41,264,2607,747,2240,2857,3783,4555,8232,11017,13789,1550,344,114,5,0,288,27,0,159,1069,8.1,7.0,9.5,0.7,0.0,28.0,65.9,0.0,6.1,7.5
543,76311,ZCTA5 76311,1434,242,13,36,0,68,331,3,219,397,567,711,1201,1673,1835,36,3,0,8,0,0,0,0,15,13,1.7,0.4,0.0,3.3,0.0,0.0,-,0.0,4.5,0.9
545,76354,ZCTA5 76354,10021,425,160,88,0,154,1096,696,2241,2753,3516,3834,6532,8599,9931,1682,524,142,29,38,0,0,0,39,1576,14.1,17.9,16.6,6.8,23.8,0.0,-,0.0,3.6,15.7
561,76384,ZCTA5 76384,6686,1218,192,118,0,918,3555,1112,3351,4221,4760,5134,7614,9185,9850,2326,739,146,497,38,0,0,296,824,1004,19.7,28.4,22.4,40.8,19.8,0.0,-,32.2,23.2,15.0
564,76401,ZCTA5 76401,22728,509,670,274,27,1271,5339,2653,6860,8106,9687,10645,15035,19525,22552,5878,788,232,189,51,0,0,484,1304,4300,20.3,12.5,13.0,37.1,7.6,0.0,0.0,38.1,24.4,18.9
570,76430,ZCTA5 76430,1904,0,1,6,0,27,296,187,346,487,634,705,1425,1686,1883,274,85,78,0,0,0,0,0,20,254,12.1,15.0,42.6,-,0.0,0.0,-,0.0,6.8,13.3
582,76448,ZCTA5 76448,3597,215,0,110,0,351,1233,551,1307,1734,2286,2408,3268,3548,4121,1148,341,76,73,0,0,0,20,557,573,22.6,36.8,21.6,34.0,-,0.0,-,5.7,45.2,15.9
611,76501,ZCTA5 76501,8236,2874,19,144,14,348,5091,1149,5067,5763,6707,7251,10237,12388,13592,3389,1333,563,1137,0,110,0,92,1256,834,20.3,32.8,48.4,39.6,0.0,76.4,0.0,26.4,24.7,10.1
612,76502,ZCTA5 76502,27269,4055,232,849,10,823,8492,2331,4996,6516,8268,9100,18583,25217,29947,3708,1496,736,637,6,68,10,62,1415,1588,8.9,13.2,17.0,15.7,2.6,8.0,100.0,7.5,16.7,5.8
613,76504,ZCTA5 76504,10267,4683,125,323,0,603,7217,2621,6833,8665,10904,11572,15869,18770,20865,5208,2041,490,1607,32,47,0,79,1406,2055,22.7,36.4,31.1,34.3,25.6,14.6,-,13.1,19.5,20.0
616,76513,ZCTA5 76513,24282,2255,129,687,205,1229,8752,1443,5772,7230,9714,10485,16971,21915,25151,4156,1490,344,528,14,22,9,188,1361,2215,11.2,14.4,13.1,23.4,10.9,3.2,4.4,15.3,15.6,9.1
624,76527,ZCTA5 76527,2159,10,11,0,0,64,744,118,466,807,965,1002,1521,1918,2128,399,117,71,0,0,0,0,8,177,222,13.6,15.0,37.6,0.0,0.0,-,-,12.5,23.8,10.3
634,76543,ZCTA5 76543,9231,12259,185,903,334,1220,7362,2413,8626,10385,13547,14902,20778,25074,27244,5554,2266,720,2861,125,199,21,211,1653,858,18.4,27.5,26.8,23.3,67.6,22.0,6.3,17.3,22.5,9.3
635,76544,ZCTA5 76544,5960,1244,128,436,115,531,2855,936,3124,4282,5648,6283,8890,9840,10445,1861,998,515,115,24,51,25,108,629,947,16.7,21.4,23.7,9.2,18.8,11.7,21.7,20.3,22.0,15.9
651,76574,ZCTA5 76574,9090,1638,45,185,0,1106,7227,559,3108,3872,4909,6473,10983,13395,15116,2381,788,196,410,11,0,0,54,1162,654,12.7,20.2,20.2,25.0,24.4,0.0,-,4.9,16.1,7.2
654,76579,ZCTA5 76579,4265,35,4,0,0,16,861,199,669,783,1089,1434,2557,3448,3852,541,264,70,0,0,0,0,0,241,300,10.4,16.1,14.3,0.0,0.0,-,-,0.0,28.0,7.0
666,76629,ZCTA5 76629,1161,318,0,13,18,5,79,173,461,483,573,654,894,1058,1235,320,54,18,115,0,0,0,0,4,193,20.0,24.0,42.9,36.2,-,0.0,0.0,0.0,5.1,16.6
671,76634,ZCTA5 76634,6156,99,21,35,0,9,792,306,1415,1729,2332,2602,3922,4798,5304,1095,453,103,11,0,15,0,9,314,755,15.3,33.6,30.8,11.1,0.0,42.9,-,100.0,39.6,12.3
679,76642,ZCTA5 76642,4472,1114,23,62,12,100,718,595,1584,1910,2592,2605,3835,4632,5544,1154,421,122,447,0,0,0,0,28,679,17.9,29.4,34.5,40.1,0.0,0.0,0.0,0.0,3.9,15.2
681,76645,ZCTA5 76645,4692,1330,79,95,0,770,3534,609,1943,2350,3545,4042,6043,7547,8483,1236,382,126,315,0,0,0,127,502,419,12.5,15.0,16.0,23.7,0.0,0.0,-,16.5,14.2,8.9
689,76655,ZCTA5 76655,7118,194,3,69,0,111,820,166,826,959,1102,1152,2117,3431,4594,604,269,68,90,0,4,0,0,111,399,7.3,13.2,21.7,46.4,0.0,5.8,-,0.0,13.5,5.6
691,76657,ZCTA5 76657,6321,422,28,162,0,168,2922,419,1275,1783,2343,2600,4257,5267,6121,720,264,44,18,0,0,0,59,378,324,7.2,10.3,8.3,4.3,0.0,0.0,-,35.1,12.9,5.1
697,76667,ZCTA5 76667,5132,2234,343,92,55,265,3077,938,3074,3857,4800,4950,7286,8880,9572,2363,1008,365,456,0,40,55,55,863,964,22.0,38.2,46.8,20.4,0.0,43.5,100.0,20.8,28.0,18.8
698,76670,ZCTA5 76670,798,182,12,0,0,63,482,111,286,455,671,696,835,1014,1272,216,75,28,47,8,0,0,43,78,83,14.3,21.4,38.9,25.8,66.7,-,-,68.3,16.2,10.4
706,76682,ZCTA5 76682,2177,147,21,0,3,84,493,126,421,486,678,795,1337,2020,2441,297,92,9,25,10,0,0,9,65,207,10.4,13.8,4.1,17.0,47.6,-,0.0,10.7,13.2,9.5
716,76704,ZCTA5 76704,627,5571,11,0,0,83,1492,1900,4513,5203,5677,5884,7142,7440,7575,3746,1758,645,2366,11,0,0,28,959,294,48.1,72.3,83.1,42.5,100.0,-,-,33.7,64.3,46.9
717,76705,ZCTA5 76705,15096,5163,322,223,29,602,7916,2532,8414,10302,13399,14427,19372,23565,26316,5978,2406,769,1639,14,129,0,68,1590,2480,20.6,31.0,38.5,31.7,4.3,57.8,0.0,11.3,20.1,16.4
718,76706,ZCTA5 76706,19098,4812,204,719,84,1269,11433,7761,15120,17661,20750,21656,27523,30891,33002,12672,2268,1069,2242,164,357,0,113,2602,7326,34.5,26.1,36.6,46.6,80.4,49.7,0.0,8.9,22.8,38.4
721,76710,ZCTA5 76710,13553,4519,65,174,0,868,5986,1534,4946,6217,7957,9174,13594,16785,19779,3685,975,326,847,0,14,0,406,1714,1143,15.1,20.0,18.7,18.7,0.0,8.0,-,46.8,28.6,8.4
723,76712,ZCTA5 76712,18060,2008,67,821,0,388,3735,461,1759,3082,4457,4917,9357,13023,16393,1207,389,0,369,17,33,0,0,85,640,4.8,6.3,0.0,18.4,25.4,4.0,-,0.0,2.3,3.5
725,76801,ZCTA5 76801,15753,1006,139,208,0,268,6034,1361,5187,6539,9177,9603,14328,17330,19579,3404,1006,318,181,8,3,0,24,1017,2179,14.5,18.5,22.3,18.0,5.8,1.4,-,9.0,16.9,13.8
773,76903,ZCTA5 76903,11824,1244,130,93,9,2397,16929,2532,8310,9894,12708,13572,20258,24430,27725,5722,1878,605,498,68,8,0,614,3041,2152,19.0,26.5,36.1,40.0,52.3,8.6,0.0,25.6,18.0,18.2
774,76904,ZCTA5 76904,21227,1252,137,662,43,1654,10453,1406,3905,4848,7091,8037,13802,18379,22647,3047,944,318,189,0,35,0,192,1224,1562,8.9,11.6,13.0,15.1,0.0,5.3,0.0,11.6,11.7,7.4
775,76905,ZCTA5 76905,5848,480,73,205,0,746,5450,558,1699,2145,3024,3452,6290,8615,10045,1386,536,220,0,0,0,0,41,931,455,11.4,14.3,15.0,0.0,0.0,0.0,-,5.5,17.1,7.8
780,76934,ZCTA5 76934,780,6,9,6,0,27,145,82,265,281,298,438,571,707,808,225,50,0,6,0,0,0,0,78,141,23.8,25.1,0.0,100.0,0.0,0.0,-,0.0,53.8,18.1
782,76936,ZCTA5 76936,1376,16,0,0,11,1098,1580,186,562,626,791,880,1557,2004,2381,467,107,47,8,0,0,0,242,264,195,15.7,13.6,21.7,50.0,-,-,0.0,22.0,16.7,14.2
790,76950,ZCTA5 76950,1342,2,14,0,6,1405,2499,347,601,737,990,1209,2318,2699,3004,552,216,65,2,0,0,0,296,503,47,14.3,21.4,19.7,100.0,0.0,-,0.0,21.1,20.1,3.5
803,77009,ZCTA5 77009,10344,2144,155,424,66,6169,22580,3034,8779,10618,13767,14444,19569,23029,25449,6933,2466,972,1057,71,55,0,1462,5279,488,19.3,30.7,39.0,49.3,45.8,13.0,0.0,23.7,23.4,4.7
805,77011,ZCTA5 77011,709,257,69,175,10,4103,16313,1540,7232,8462,9874,10476,13622,15734,16512,6229,2368,711,110,10,9,10,1040,5844,250,35.7,53.5,55.0,42.8,14.5,5.1,100.0,25.3,35.8,35.3
806,77012,ZCTA5 77012,386,690,64,186,0,6675,18360,1269,6547,7819,9480,10253,15848,17438,18784,4584,1842,537,87,54,178,0,1437,4163,172,23.5,33.4,35.4,12.6,84.4,95.7,-,21.5,22.7,44.6
807,77013,ZCTA5 77013,1109,3832,32,65,20,639,12831,1938,5533,7214,8769,9509,13449,15659,16566,4291,1966,619,759,0,0,0,120,3349,164,24.0,37.7,37.9,19.8,0.0,0.0,0.0,18.8,26.1,14.8
809,77015,ZCTA5 77015,6632,9626,536,1027,16,2216,38778,4668,15756,19914,25993,27947,40466,46864,50798,12175,5978,1483,1330,0,15,0,94,9876,885,21.6,33.3,31.5,13.8,0.0,1.5,0.0,4.2,25.5,13.3
811,77017,ZCTA5 77017,2254,1293,158,1030,30,8358,28355,2342,8150,10181,13355,14163,21953,26474,29524,6289,2510,629,352,9,296,0,1428,5261,342,19.1,28.8,27.0,27.2,5.7,28.7,0.0,17.1,18.6,15.2
814,77020,ZCTA5 77020,968,5868,83,47,0,7428,19271,3295,10569,12960,15811,16507,21302,23559,24905,8396,3273,1161,2536,0,0,0,2439,5660,239,32.0,45.1,52.4,43.2,0.0,0.0,-,32.8,29.4,24.7
815,77021,ZCTA5 77021,2720,18687,155,906,0,258,3702,3904,9223,10161,12056,12634,17561,19837,21747,7492,2414,763,5830,69,139,0,177,1184,422,28.9,42.6,45.2,31.2,44.5,15.3,-,68.6,32.0,15.5
816,77022,ZCTA5 77022,1365,5311,79,178,8,2496,20974,3167,11814,13761,16884,17557,22649,25376,26525,9135,3596,993,2044,45,82,0,534,6681,307,32.8,46.6,43.7,38.5,57.0,46.1,0.0,21.4,31.9,22.5
820,77026,ZCTA5 77026,516,10739,0,190,36,2224,9760,3067,8643,10239,12380,12975,16969,19095,20050,7220,2396,614,3303,0,42,0,739,3735,130,33.9,50.6,52.5,30.8,-,22.1,0.0,33.2,38.3,25.2
822,77028,ZCTA5 77028,337,11614,42,0,0,503,5255,2195,6532,8423,10297,10643,13656,15540,16473,5072,1764,358,3227,0,0,0,163,1631,163,29.2,39.2,38.5,27.8,0.0,-,-,32.4,31.0,48.4
823,77029,ZCTA5 77029,1204,3497,36,0,0,1016,12909,1710,6195,7599,9773,10014,13506,15420,16391,4822,1928,426,967,5,0,0,286,3639,190,27.3,38.7,35.1,27.7,13.9,-,-,28.1,28.2,15.8
826,77032,ZCTA5 77032,922,6123,0,121,13,1502,7431,4250,6878,7754,9223,9757,12917,13598,13977,5941,3346,720,3094,0,109,0,40,2514,346,41.1,56.9,53.2,50.5,-,90.1,0.0,2.7,33.8,37.5
827,77033,ZCTA5 77033,358,20241,34,91,45,877,9647,3082,11647,14085,17015,18202,23661,27069,28629,8498,3833,1158,5449,0,60,0,116,2711,186,27.9,43.3,48.8,26.9,0.0,65.9,0.0,13.2,28.1,52.0
828,77034,ZCTA5 77034,4994,4160,38,1893,0,2228,29238,1934,10240,14183,16381,18434,25892,31268,35867,7208,3388,1248,649,0,110,0,325,5399,924,17.8,27.9,34.4,15.6,0.0,5.8,-,14.6,18.5,18.5
830,77036,ZCTA5 77036,5827,10581,326,11094,79,21035,45853,10402,32679,37947,45116,47682,60240,65676,68449,24642,10582,3574,4284,49,2733,42,7508,16626,823,33.3,50.2,54.8,40.5,15.0,24.6,53.2,35.7,36.3,14.1
831,77037,ZCTA5 77037,923,135,22,50,0,908,17772,3556,6856,8969,10946,11627,15076,17333,18198,5385,2824,763,4,17,14,0,114,5210,140,28.5,48.2,47.7,3.0,77.3,28.0,-,12.6,29.3,15.2
832,77038,ZCTA5 77038,1536,5306,162,2608,0,1104,22400,2582,11807,13437,17761,18708,23366,27096,29163,8605,3942,950,942,0,268,0,185,7249,146,27.0,36.9,31.0,17.8,0.0,10.3,-,16.8,32.4,9.5
833,77039,ZCTA5 77039,1397,2470,176,194,0,985,24667,3233,11760,14524,16956,18697,23511,26375,27878,9510,4357,1239,461,52,98,0,84,8769,182,33.0,44.7,45.7,18.7,29.5,50.5,-,8.5,35.5,13.0
834,77040,ZCTA5 77040,13355,6975,213,3976,84,4230,22900,2516,8195,11835,15194,16837,26045,31918,36617,5966,1907,353,1125,0,496,0,745,3696,692,12.6,17.6,13.3,16.1,0.0,12.5,0.0,17.6,16.1,5.2
835,77041,ZCTA5 77041,9631,3381,180,4939,31,4449,15396,983,4243,5153,8421,9196,14359,19057,21473,2715,1038,249,577,10,110,0,644,1685,316,8.0,13.5,16.1,17.1,5.6,2.2,0.0,14.5,10.9,3.3
837,77043,ZCTA5 77043,10583,1082,0,2165,0,1400,10592,1563,4798,5658,7440,8249,11908,15566,17236,3363,1327,427,178,0,373,0,140,2023,785,13.7,23.0,21.4,16.5,-,17.2,-,10.0,19.1,7.4
838,77044,ZCTA5 77044,11661,14643,398,726,61,1275,21254,2305,6987,9854,12088,13839,20585,27460,32983,5020,2312,761,1941,0,11,0,218,2635,478,10.3,14.9,15.8,13.3,0.0,1.5,0.0,17.1,12.4,4.1
839,77045,ZCTA5 77045,976,17304,0,228,0,1844,17728,2889,6942,8840,13609,15021,23161,29324,32332,5366,2323,554,2417,0,0,0,252,2895,121,14.8,22.6,23.9,14.0,-,0.0,-,13.7,16.3,12.4
841,77047,ZCTA5 77047,1961,21930,94,595,0,1007,8321,1668,5317,8016,10378,10970,16831,21818,25803,3917,1846,274,1372,0,0,0,672,2355,169,12.0,20.3,10.9,6.3,0.0,0.0,-,66.7,28.3,8.6
842,77048,ZCTA5 77048,416,12224,10,309,0,1349,5399,2438,6515,7355,8853,9230,11157,13361,15442,4444,2131,559,3179,0,0,0,23,1243,19,24.3,38.3,33.6,26.0,0.0,0.0,-,1.7,23.0,4.6
843,77049,ZCTA5 77049,3715,7923,332,1096,0,2217,23256,1546,5963,9015,11462,12352,22101,27276,30188,4542,1762,437,1164,0,26,0,396,2954,364,12.5,15.1,14.2,14.7,0.0,2.4,-,17.9,12.7,9.8
844,77050,ZCTA5 77050,104,1871,60,0,0,117,2766,157,1460,1851,2675,2906,3477,3826,4227,988,420,50,228,0,0,0,0,755,5,20.8,32.4,20.0,12.2,0.0,-,-,0.0,27.3,4.8
845,77051,ZCTA5 77051,421,13263,34,191,0,612,2988,2172,6946,8583,9932,10858,13901,15212,15638,6070,2680,736,4891,12,2,0,0,910,24,35.3,54.8,64.6,36.9,35.3,1.0,-,0.0,30.5,5.7
846,77053,ZCTA5 77053,848,13091,70,294,0,1998,17236,3014,8711,10461,13649,15769,22012,26466,28882,6639,3198,836,2921,41,0,0,247,3591,127,21.0,34.2,40.2,22.3,58.6,0.0,-,12.4,20.8,15.0
847,77054,ZCTA5 77054,6397,8169,119,5746,21,463,1903,3162,5841,6407,7476,7970,12193,16103,18490,4910,493,159,1471,0,1060,0,101,640,1244,21.2,21.1,15.5,18.0,0.0,18.4,0.0,21.8,33.6,19.4
848,77055,ZCTA5 77055,14833,2030,399,1853,0,17713,24767,3708,12123,14798,18060,19895,25441,29042,30915,9802,3886,1316,686,18,56,0,6480,7989,1012,22.1,32.9,35.2,33.8,4.5,3.0,-,36.6,32.3,6.8
853,77060,ZCTA5 77060,2159,7487,233,665,134,2135,35036,6539,20615,26032,30655,32683,40222,43241,44674,15022,6999,2558,2492,0,224,134,578,11721,454,33.0,43.2,47.7,33.3,0.0,33.7,100.0,27.1,33.5,21.0
854,77061,ZCTA5 77061,2165,6134,63,1431,23,5847,16671,2694,7409,9808,12169,13626,18158,20423,23237,5257,2380,796,1993,0,244,0,810,2654,347,20.0,31.4,35.3,32.5,0.0,17.1,0.0,13.9,15.9,16.0
857,77064,ZCTA5 77064,13425,6758,216,8055,38,3402,18623,2490,8176,10213,12839,14084,22648,30240,35847,6156,2391,548,863,24,796,0,539,3731,605,12.8,20.3,18.5,12.8,11.1,9.9,0.0,15.8,20.0,4.5
863,77070,ZCTA5 77070,23599,10125,116,4792,0,2351,13680,2321,7333,10238,14338,16758,24473,31659,36736,4970,1680,736,1410,0,448,0,230,1448,1586,9.4,13.0,24.5,13.9,0.0,9.3,-,9.8,10.6,6.7
866,77073,ZCTA5 77073,5829,13109,116,751,0,4634,20259,2805,7480,11403,14756,17156,26090,31296,34419,5020,1745,376,1391,0,111,0,607,2925,547,12.6,15.0,12.6,10.6,0.0,14.8,-,13.1,14.4,9.4
868,77075,ZCTA5 77075,3411,7016,142,3385,19,5188,30021,2548,9755,12288,16832,18908,28386,35134,38917,7038,2808,680,1963,7,587,0,987,3687,610,15.8,21.8,19.8,28.0,4.9,17.3,0.0,19.0,12.3,17.9
870,77077,ZCTA5 77077,23629,12865,207,7658,70,1900,13604,2913,8880,11352,14229,15110,23217,30543,36408,6483,1965,643,1905,0,273,0,270,2462,1612,10.9,15.3,15.5,14.8,0.0,3.6,0.0,14.2,18.1,6.8
874,77081,ZCTA5 77081,4671,8091,126,2616,0,4690,36720,6931,22776,26908,32642,34900,43188,46051,48665,18449,8745,2933,1752,55,825,0,2427,14969,625,35.0,53.1,52.1,21.7,43.7,31.5,-,51.7,40.8,13.4
879,77086,ZCTA5 77086,2285,4996,181,2467,0,3108,18698,2321,8652,11132,12843,14034,19821,23255,26467,6141,2669,673,921,37,522,0,498,4189,422,21.5,30.6,32.0,18.4,20.4,21.2,-,16.0,22.4,18.5
880,77087,ZCTA5 77087,1342,5018,155,282,0,5716,30762,4023,12482,16004,20808,22436,27779,32666,34879,9058,4153,1776,1240,78,152,0,1703,7324,391,24.1,37.0,50.8,24.7,50.3,53.9,-,29.8,23.8,29.1
884,77091,ZCTA5 77091,2367,12536,21,222,7,845,12474,2468,9505,11369,13941,15568,20722,22786,24365,6898,2820,692,3881,0,109,0,263,2868,520,25.1,36.0,31.2,31.0,0.0,49.1,0.0,31.1,23.0,22.0
885,77092,ZCTA5 77092,7890,4266,17,584,0,14268,25088,4597,14926,17742,21596,23284,27889,30957,33358,12062,4546,1730,1266,0,128,0,6501,9522,875,31.5,45.3,46.7,29.7,0.0,21.9,-,45.6,38.0,11.1
887,77094,ZCTA5 77094,6239,345,11,2429,0,222,1040,83,242,286,437,480,1008,1887,2823,210,48,26,0,0,9,0,19,36,131,2.0,1.7,3.7,0.0,0.0,0.4,-,8.6,3.5,2.1
