,ZIP,Total Releases,Total Population,Percent_White,Percent_Black_African_American,Percent_American_Indian,Percent_Asian,Percent_Native_Hawaiian_PI,Percent_Other_Race,Percent_Hispanic_Latino,Percent_50_PL,Percent_125_PL,Percent_185_PL,Percent_200_PL,Percent_300_PL,Percent_400_PL,Percent_500_PL,Total Releases Binned
0,77511,4881777.295999999,47393,55.83313991517734,2.321017871837613,0.16036123478150782,1.0423480260798008,0.02743021121262634,2.795771527440761,39.89618720064145,3.9900407233135695,16.33363576899542,29.972780790412084,32.21572806110607,49.05998776190577,64.38292574852827,76.9522925326525,4
1,77979,3529297.59,17599,36.67822035342917,2.977441900107961,0.0681856923688846,6.273083697937383,0.03977498721518268,1.9489743735439515,54.20762543326325,3.8127166316267966,19.904540030683563,34.87698164668447,37.58736291834764,55.71907494744019,68.61753508722086,79.4420137507813,4
2,77536,3511945.158704259,31865,58.10450337360741,1.449866624823474,0.922642397614938,1.6538521889220146,0.0,2.815000784559862,37.363878863957325,3.276321983367331,8.771379256237251,18.73215126314138,20.87870704534756,36.90883414404519,54.815628432449394,67.1740153773733,4
3,77530,1386491.3206840744,33387,18.77077904573636,12.44196843082637,0.0,0.18570102135561745,0.0,3.2407823404319047,67.47236948512895,9.488723155719292,25.755533590918624,39.99760385778896,42.12118489232336,61.01476622637554,80.25279300326474,87.50711354718904,4
4,78380,1007566.601916503,24147,20.072886901064315,0.4017062160930965,0.5839234687538825,0.062119517952540684,0.0,2.19903093551994,78.92491820930137,10.456785522011016,27.303598790740054,38.19107963722202,41.52896840187187,58.39234687538825,72.3112601979542,83.45136041744317,4
5,77630,809749.1008696826,28224,65.35218253968253,21.726190476190478,0.0,0.7227891156462585,0.0,0.9460034013605443,9.849773242630386,6.845238095238096,19.43027210884354,31.01615646258503,35.997732426303855,51.548327664399096,63.87825963718821,75.10274943310658,4
6,78728,734881.89,21073,41.275565890001424,15.674085322450528,0.5267403786836237,8.930859393536753,0.0,3.9339439092677835,31.400370141887723,3.8864898210980874,15.54121387557538,25.136430503487876,28.05485692592417,46.11113747449343,57.55706354102406,70.7018459640298,4
7,77651,502218.92065874045,12767,78.5932482180622,3.297564032270698,0.0,3.4542179055377145,0.18798464792041983,1.3472233100963422,11.17725385760163,5.287068222761808,12.884781076212109,23.208271324508498,24.406673455001172,39.98590115140597,53.9985901151406,68.02694446620193,4
8,77978,489737.0648607966,696,56.75287356321839,6.321839080459771,0.0,1.4367816091954022,0.0,0.0,29.310344827586203,10.201149425287356,21.120689655172413,29.022988505747126,37.212643678160916,49.137931034482754,70.6896551724138,80.17241379310344,4
9,77012,445537.6,19533,1.9761429375927917,3.5324834894793424,0.3276506425024318,0.9522346797726924,0.0,34.17293810474582,93.99477806788512,6.496697895868531,33.51763681974095,48.533251420672705,52.490656837147384,81.13449034966467,89.27456099933447,96.16546357446373,4
10,77571,428765.0467407951,37298,56.65719341519653,5.946699554935921,0.42361520724971846,1.1770068100166229,0.0,4.480132983001769,33.83023218403132,3.3942838758110354,12.8398305539171,21.097645986379966,24.274760040752856,42.163118665880205,57.63311705721487,67.12692369564051,4
11,76060,418787.40030000004,8415,60.0,10.469399881164588,0.0,6.9875222816399285,0.14260249554367202,4.610814022578729,20.843731431966724,1.9370172311348781,8.389780154486036,21.36660724896019,21.509209744503863,42.60249554367201,54.97326203208556,64.5395127748069,4
12,77541,365864.8156020035,18530,35.321100917431195,10.928224500809499,2.0507285483000537,0.6583917970858069,0.0,9.120345385860766,51.05234754452239,9.514301133297355,27.107393416082033,45.21856449001619,53.36751214247166,67.12898003237993,77.97625472207231,84.15542363734485,4
13,77507,364162.63702999987,312,68.26923076923077,14.423076923076922,0.0,0.0,0.0,4.487179487179487,17.307692307692307,19.230769230769234,19.230769230769234,32.05128205128205,39.42307692307692,45.83333333333333,60.256410256410255,75.96153846153845,4
14,77520,334963.2263808276,35114,29.455487839608136,12.94640314404511,0.06550093979609273,0.734749672495301,0.08258814148202996,10.05012245827875,54.97807142450305,6.4077006322264625,23.950561029788688,36.76596229424161,39.36606481745173,62.05502078942872,75.22640542233867,82.99538645554479,4
15,77590,320552.80128325196,31321,41.52485552823984,20.149420516586318,0.47252641997381944,0.3416238306567479,0.30331087768589765,2.353053861626385,33.878228664474314,6.075795791960665,29.47223907282654,42.125091791449826,45.902110405159476,62.517161010184864,75.01995466300565,82.47182401583602,4
16,78343,261065.4,4519,23.368001770303167,2.1243637973002873,0.3540606328833813,0.0,0.0,5.797742863465368,72.93649037397655,5.8862580216862135,24.96127461827838,31.59991148484178,33.85704801947333,50.254481079884926,62.22615622925426,73.6003540606329,4
17,79720,251896.3,30244,52.7245073402989,5.548207909006745,1.1241899219679936,0.6083851342415024,0.0,6.140060838513424,38.477053299828064,8.166909139002778,23.20790900674514,34.892871313318345,35.97738394392277,56.48393069699775,71.34968919455098,80.17458008199974,4
18,75602,240735.8527456139,20700,31.183574879227056,33.64734299516908,0.26570048309178745,0.40096618357487923,0.0,1.2657004830917873,33.270531400966185,11.43961352657005,35.507246376811594,47.36231884057971,49.68115942028986,70.46376811594203,80.6328502415459,86.53140096618358,4
19,77015,234518.9466700576,56376,11.76387115084433,17.074641691499927,0.9507591883070811,1.8216971761033065,0.02838087129274869,3.9307506740456932,68.78458918688804,8.28011919965943,27.94806300553427,46.106499219526036,49.57251312615297,71.77877110827302,83.1275720164609,90.10571874556548,4
